model,text,true,predicted
TF-IDF+LR,"I caught the North American premiere of this at the Chicago International Film Festival. I was beyond disappointed. From the mood in the audience, I wasn't the only one.<br /><br />The film takes a long time to get to the conflict, and then refuses to resolve it, opting instead to tell us the story ",Negative,Positive
TF-IDF+LR,"**** Spitfire (1934) John Cromwell ~ Katharine Hepburn, Ralph Bellamy, Robert Young <br /><br />Mountain hillbilly Katharine Hepburn (as Trigger Hicks) is a religious back-woods laundry woman. ""Going on 18"", she begins to attract male attention, and responds by throwing rocks. The arrival of a dam-b",Negative,Positive
TF-IDF+LR,"Almost in the same league as Yonfan's rather atrocious Color Blossoms, Spider Lillies drives the point home that you can make cutting edge cinema without the edge, or much in the way of cutting. It's a Taiwanese film, which in this day and age is becoming a novelty at an alarming pace, but more than",Negative,Positive
TF-IDF+LR,"Follow-up to 1973's far better ""Cleopatra Jones"" has statuesque black actress Tamara Dobson returning to her signature role as chic, super-tough narcotics agent, here busting a heroin ring in Hong Kong. Cross-pollination of blaxploitation action-flick and kung-fu B-movie is fun at the outset but eve",Negative,Positive
TF-IDF+LR,"Don't believe all of the negative reviews this movie receives. Yes, it is cheaply made. Yes, the gore is laughable. And, yes, the acting is sub-par. However, this is a textbook example of an early slasher flick, and if that is your ""thing"" (its mine!) then you will enjoy this one. There are enough g",Positive,Negative
TF-IDF+SVM,"I caught the North American premiere of this at the Chicago International Film Festival. I was beyond disappointed. From the mood in the audience, I wasn't the only one.<br /><br />The film takes a long time to get to the conflict, and then refuses to resolve it, opting instead to tell us the story ",Negative,Positive
TF-IDF+SVM,"Director Spike Lee is famous for making films pointing out racism. In many of films, such ""Do The Right Thing,"" most of the white people are all brutal racists. In this movie, interracial marriage is the subject, with racism once again being the entire issue.<br /><br />What Lee does, however, is on",Negative,Positive
TF-IDF+SVM,"Almost in the same league as Yonfan's rather atrocious Color Blossoms, Spider Lillies drives the point home that you can make cutting edge cinema without the edge, or much in the way of cutting. It's a Taiwanese film, which in this day and age is becoming a novelty at an alarming pace, but more than",Negative,Positive
TF-IDF+SVM,This movie is similar to the play entitled 'Blithe Spirit' written by Noel Coward. The plot of a ghost wife and a medium are strongly linked to Coward's writing. I'm surprised that movies of this nature don't acknowledge the original writer's concept. I realize that the public may not be aware that ,Negative,Positive
TF-IDF+SVM,"Follow-up to 1973's far better ""Cleopatra Jones"" has statuesque black actress Tamara Dobson returning to her signature role as chic, super-tough narcotics agent, here busting a heroin ring in Hong Kong. Cross-pollination of blaxploitation action-flick and kung-fu B-movie is fun at the outset but eve",Negative,Positive
BiLSTM+GloVe,"**** Spitfire (1934) John Cromwell ~ Katharine Hepburn, Ralph Bellamy, Robert Young <br /><br />Mountain hillbilly Katharine Hepburn (as Trigger Hicks) is a religious back-woods laundry woman. ""Going on 18"", she begins to attract male attention, and responds by throwing rocks. The arrival of a dam-b",Negative,Positive
BiLSTM+GloVe,">>>>>>>>>>>>> >>>>>>>>>>>>>>>>> >>>>>>>>>>>>>>>>>>>>>> >>>>>>>> >>>>>>> With their no holds bar cruel offensive humor, sure enough to offended anyone, you would sure think this would be a laugh riot! ............wrong. Worest movie since Open water. Don't be to surprised if you completely miss this ",Negative,Positive
BiLSTM+GloVe,"Director Spike Lee is famous for making films pointing out racism. In many of films, such ""Do The Right Thing,"" most of the white people are all brutal racists. In this movie, interracial marriage is the subject, with racism once again being the entire issue.<br /><br />What Lee does, however, is on",Negative,Positive
BiLSTM+GloVe,"I saw Ray when it first came out. Why? Partly, because of the advertising hype, secondly because I just loved the heck outa Ray Charles's music. But not being around when his biggest things in music and his life happened, I wanted to learn more about the man's life. And in this film, I did. His addi",Positive,Negative
BiLSTM+GloVe,This movie is similar to the play entitled 'Blithe Spirit' written by Noel Coward. The plot of a ghost wife and a medium are strongly linked to Coward's writing. I'm surprised that movies of this nature don't acknowledge the original writer's concept. I realize that the public may not be aware that ,Negative,Positive
DistilBERT,"This film launched my theory about films based on books: Instead of following the cliche ""You've read the book; now see the film,"" if you are looking for a good book to read, try one upon which a movie you like was based, because it'll be 10 times better.<br /><br />I saw this film on its initial re",Positive,Negative
DistilBERT,"Near the beginning, after it's been established that outlaw John Dillinger (Warren Oates), is an egomaniacal rapist, another bandit of the 1930s is cornered in a farm house and surrounded by the FBI. Second-in-command Melvin Purvis (Ben Johnson), surveys the situations, sticks a lighted cigar in his",Negative,Positive
DistilBERT,'In The Line Of Fire' tells the story of the game between an old presidential bodyguard and a former-government assassin turned psycho. The secret service agent/bodyguard (Eastwood) is on defense and the assassin (Malkovich)is on offense. The stakes? The president's live.<br /><br />I really like th,Positive,Negative
DistilBERT,"If you go to this movie expecting something it isn't, you will be disappointed, as with any movie. This movie contains what Hemmingway described as the ""iceberg effect"". On the surface, its simply a cache of random movie clips smashed together to make a movie. If this would be written in a book, it ",Positive,Negative
DistilBERT,"Imagine this: a high school. Except it's boarding school, and the kids don't have parents around. Oh, and it's in Malibu. And the kids are all thin, white, and gorgeous, with the exceptional token minority or fat kid to play the ""weird"" outcast. And there aren't any reasonable rules, like how they h",Negative,Positive
